Title,Description,Creator,Publisher,Date,Collection,Type,Identifier,tag,file
A Study in Scarlett,The first story of Sherlock Holmes and Dr. Watson,Sir Arthur Conan Doyle,Ward Lock & Co,1887,,novel,STUD,mystery,http://upload.wikimedia.org/wikipedia/commons/b/ba/ArthurConanDoyle_AStudyInScarlet.jpg
The Sign of Four,In which we meet Miss Mary Morstan,Sir Arthur Conan Doyle,Spencer Blackett,1890,,novel,SIGN,mystery,http://upload.wikimedia.org/wikipedia/en/b/b0/TheSignOfTheFour.jpg
The Hound of the Baskervilles,"Which features a large dog, possibly spectral",Sir Arthur Conan Doyle,George Newnes,1902,,novel,HOUN,mystery,http://upload.wikimedia.org/wikipedia/commons/3/3b/Cover_%28Hound_of_Baskervilles%2C_1902%29.jpg
The Valley of Fear,"Involing the Molly Maguires, an extended episode in the Americas, and generally a bit odd.",Sir Arthur Conan Doyle,Goerge H. Doran Company,1915,,novel,VALL,mystery,http://upload.wikimedia.org/wikipedia/commons/8/84/Valley_of_fear.jpg
A Scandal in Bohemia,The one and only appearance of Ms. Irene Adler of New Jersey,Sir Arthur Conan Doyle,George Newnes Ltd,1888,The Adventures of Sherlock Holmes,short story,SCAN,mystery,http://upload.wikimedia.org/wikipedia/commons/b/b6/A_Scandal_in_Bohemia-04.jpg
The Adventure of the Red Headed League,Never trust a man who hires you to copy the dictionary,Sir Arthur Conan Doyle,George Newnes Ltd,1890,The Adventures of Sherlock Holmes,short story,REDH,mystery,http://upload.wikimedia.org/wikipedia/commons/9/99/Redh-02.jpg
A Case of Identity,Missing persons. Sort of.,Sir Arthur Conan Doyle,George Newnes Ltd,1890,The Adventures of Sherlock Holmes,short story,IDEN,mystery,http://upload.wikimedia.org/wikipedia/commons/7/7a/Iden-01.jpg
The Boscombe Valley Mystery,A rat!,Sir Arthur Conan Doyle,George Newnes Ltd,1891,The Adventures of Sherlock Holmes,short story,BOSC,mystery,http://upload.wikimedia.org/wikipedia/commons/e/e7/Bosc-01.jpg
The Five Orange Pips,"In which the KKK crosses the ocean, and Doyle has to explain what it is",Sir Arthur Conan Doyle,George Newnes Ltd,1891,The Adventures of Sherlock Holmes,short story,FIVE,mystery,http://upload.wikimedia.org/wikipedia/commons/c/c8/Sherlock_Holmes_in_The_Five_Orange_Pips.jpg
The Man with the Twisted Lip,"Missing persons, opium, etc.",Sir Arthur Conan Doyle,George Newnes Ltd,1891,The Adventures of Sherlock Holmes,short story,TWIS,mystery,http://upload.wikimedia.org/wikipedia/commons/6/64/Twis-05.jpg
The Adventure of the Blue Carbuncle,"A goose, a theft, a blue diamond, and Christmas",Sir Arthur Conan Doyle,George Newnes Ltd,1892,The Adventures of Sherlock Holmes,short story,BLUE,mystery,http://upload.wikimedia.org/wikipedia/commons/2/24/The_Adventure_of_the_Blue_Carbuncle_07.jpg
The Adventure of the Speckled Band,"Creepy, creepy stepdad.",Sir Arthur Conan Doyle,George Newnes Ltd,1892,The Adventures of Sherlock Holmes,short story,SPEC,mystery,http://upload.wikimedia.org/wikipedia/en/2/2b/TheSpeckledBand.jpg
The Adventure of the Engineer's Thumb,"In his narration,ÊDr. WatsonÊnotes that this is one of only two cases which he personally brought to the attention ofSherlock Holmes.",Sir Arthur Conan Doyle,George Newnes Ltd,1892,The Adventures of Sherlock Holmes,short story,ENGR,mystery,http://upload.wikimedia.org/wikipedia/commons/9/97/Engr-07.jpg
The Adventure of the Noble Bachelor,The disappearance of Lord Robert St. Simon's bride.,Sir Arthur Conan Doyle,George Newnes Ltd,1892,The Adventures of Sherlock Holmes,short story,NOBL,mystery,http://upload.wikimedia.org/wikipedia/commons/f/fe/Nobl-08.jpg
The Adventure of the Beryl Coronet,Not all is what it seems,Sir Arthur Conan Doyle,George Newnes Ltd,1892,The Adventures of Sherlock Holmes,short story,BERY,mystery,http://upload.wikimedia.org/wikipedia/commons/0/08/Bery-01.jpg
The Adventure of the Copper Beeches,Never trust a man who hires you but tells you to cut your hair and wear a particular outfit. That's creepy.,Sir Arthur Conan Doyle,George Newnes Ltd,1892,The Adventures of Sherlock Holmes,short story,COPP,mystery,http://upload.wikimedia.org/wikipedia/commons/0/08/Copp-03.jpg
Silver Blaze,Fun with horse racing,Sir Arthur Conan Doyle,George Newnes Ltd,1892,Memoirs of Sherlock Holmes,short story,SILV,mystery,http://upload.wikimedia.org/wikipedia/commons/7/7b/Silv-06.jpg
The Adventure of the Cardboard Box,Grusome packages tied up with string,Sir Arthur Conan Doyle,George Newnes Ltd,1892,Memoirs of Sherlock Holmes,short story,CARD,mystery,http://upload.wikimedia.org/wikipedia/commons/1/13/Cardboard_Box.jpg
The Adventure of the Yellow Face,"Who is that person in the window? Also, racism.",Sir Arthur Conan Doyle,George Newnes Ltd,1893,Memoirs of Sherlock Holmes,short story,YELL,mystery,http://upload.wikimedia.org/wikipedia/commons/2/20/Paget_Holmes_Yellow_Face_child.jpg
The Adventure of the Gloria Scott,A story from Holmes' youth.,Sir Arthur Conan Doyle,George Newnes Ltd,1893,Memoirs of Sherlock Holmes,short story,GLOR,mystery,http://upload.wikimedia.org/wikipedia/commons/5/5f/Glor-02.jpg
The Adventure of the Musgrave Ritual,Whose is it? His who is gone.,Sir Arthur Conan Doyle,George Newnes Ltd,1893,Memoirs of Sherlock Holmes,short story,MUSG,mystery,http://upload.wikimedia.org/wikipedia/commons/4/40/Musg-02.jpg
The Adventure of Reigate Squire,Burglary is not what it seems,Sir Arthur Conan Doyle,George Newnes Ltd,1893,Memoirs of Sherlock Holmes,short story,REIG,mystery,http://upload.wikimedia.org/wikipedia/commons/c/c1/Reig-05.jpg
The Adventure of the Crooked Man,"Once again, the British Empire in India is a key plot point",Sir Arthur Conan Doyle,George Newnes Ltd,1893,Memoirs of Sherlock Holmes,short story,CROO,mystery,http://upload.wikimedia.org/wikipedia/commons/2/23/Croo-05.jpg
