dcterms:Title,dcterms:creator,creator S id,dcterms:description,dcterms:publisher,dcterms:date,file url,ref url
Pride and Prejudice,Jane Austen,,"Mr Bennet of the Longbourn estate has five daughters, but his property is entailed, meaning that none of the girls can inherit it. Since his wife had no fortune, it is imperative that one of the girls marries well in order to support the others on his death. However, Jane Austen's opening line 'It is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife' is a sentence filled with irony and playfulness. The novel revolves around the necessity of marrying for love, not simply for mercenary reasons despite the social pressures to make a good (i.e. wealthy) match.",Thomas Egerton,1813,https://upload.wikimedia.org/wikipedia/commons/1/17/PrideAndPrejudiceTitlePage.jpg,
Sense and Sensibility,Jane Austen,,"The novel follows the young women to their new home with their widowed mother, a meagre cottage on the property of a distant relative, where they experience love, romance and heartbreak. The novel is set in southwest England, London and Sussex between 1792 and 1797.",Thomas Egerton,1811,https://upload.wikimedia.org/wikipedia/commons/9/96/SenseAndSensibilityTitlePage.jpg,
Emma,Jane Austen,,"A novel about youthful hubris and the perils of misconstrued romance. The novel was first published in December 1815. As in her other novels, Austen explores the concerns and difficulties of genteel women living in Georgian–Regency England; she also creates a lively comedy of manners among her characters",John Murray,1815,https://upload.wikimedia.org/wikipedia/commons/f/f2/EmmaTitlePage.jpg,
Northanger Abbey,Jane Austen,,"A satire of the Gothic novels popular at the time of its first writing in 1798–99. The heroine, Catherine, thinks life is like a Gothic novel, but her real experiences bring her down to earth as an ordinary young woman.",John Murray,1818,https://upload.wikimedia.org/wikipedia/commons/6/68/NorthangerPersuasionTitlePage.jpg,
Mansfield Park,Jane Austen,,"The novel tells the story of Fanny Price starting when her overburdened family sends her at age 10 to live in the household of her wealthy aunt and uncle, through to her marriage. The novel was first published by Thomas Egerton. A second edition was published in 1816 by John Murray, still within Austen's lifetime. The novel did not receive any critical attention when it was initially published; the first particular notice was in 1821, in a positive review of each of the published novels by Jane Austen.",Thomas Egerton|John Murray,1811|1816,https://upload.wikimedia.org/wikipedia/commons/a/af/MansfieldParkTitlePage.jpg,
Persuasion,Jane Austen,,"The story concerns Anne Elliot, a young Englishwoman of 27 years, whose family is moving to lower their expenses and get out of debt, at the same time as the wars come to an end, putting sailors on shore. They rent their home to an Admiral and his wife. The wife’s brother, Navy Captain Frederick Wentworth, had been engaged to Anne in 1806, and now they meet again, both single and unattached, after no contact in more than seven years. This sets the scene for many humorous encounters as well as a second, well-considered chance at love and marriage for Anne Elliot in her second ""bloom"".",John Murray,1818,https://upload.wikimedia.org/wikipedia/commons/6/68/NorthangerPersuasionTitlePage.jpg,
Love & Freindship,Jane Austen,,"A juvenile story by Jane Austen, dated 1790. From the age of eleven until she was eighteen, Austen wrote her tales in three notebooks. These still exist, one in the Bodleian Library and the other two in the British Museum. They contain, among other works, Love and Freindship, written when she was fourteen, and The History of England, written when she was fifteen.",,1790,,https://en.wikipedia.org/wiki/Love_and_Freindship
Sanditon,Jane Austen,,"An unfinished novel by the English writer Jane Austen. In January 1817, Austen began work on a new novel she called The Brothers, later titled Sanditon upon its first publication in 1925, and completed twelve chapters before stopping work in mid-March 1817, probably because her illness prevented her from continuing.",,1817,,https://en.wikipedia.org/wiki/Sanditon
The Watsons,Jane Austen,,"An unfinished nove by Jane Austen, begun circa 1803 and likely abandoned after the death of her father in 1805. It concerns Emma Watson, a young woman who has been educated by a wealthy aunt and returns to her less genteel immediate family after the aunt's remarriage.",,c. 1803,,https://en.wikipedia.org/wiki/The_Watsons
Lady Susan,Jane Austen,,"A short epistolary novel by Jane Austen, possibly written in 1794 but not published until 1871. This early complete work, which the author never submitted for publication, describes the schemes of the title character.",,c. 1794,,https://en.wikipedia.org/wiki/Lady_Susan
